game_id	attendance	team1	team2	goals	tie	pk	stage	round	year	date	time	stadium	home	lat	long	referee	booked	url
11	15000	Germany	Sweden	2-1	False	False	1/4 FINAL	False	1934	31-05-1934 (16:30 h)	16:30 	San Siro (Milano)	Italy	45.478124	9.123962	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
12	35000	Italy	Spain	1-1	False	False	1/4 FINAL	False	1934	31-05-1934 (16:30 h)	16:30 	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	Louis Baert (BEL)		1934_ITALY_FS.htm
13	43000	Italy	Spain	1-0	False	False	1/4 FINAL	False	1934	1-06-1934 (16:45 h)	16:45 	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	RenÃ© Mercet (SWI)		1934_ITALY_FS.htm
14	60000	Italy	Austria	1-0	False	False	1/2 FINAL	False	1934	3-06-1934 (16:30 h)	16:30 	San Siro (Milano)	Italy	45.478124	9.123962	Ivan Eklind (SWE)		1934_ITALY_FS.htm
15	15000	Czechoslovakia	Germany	3-1	False	False	1/2 FINAL	False	1934	3-06-1934 (16:30 h)	16:30 	Stadio Nazionale del PNF (Roma)	Italy	41.926953	12.472197	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
16	7000	Germany	Austria	3-2	False	False	PLACES 3-4	False	1934	7-06-1934 (17:30 h)	17:30 	Giorgio Ascarelli (Napoli)	Italy	40.631067	14.408606	Albino Carraro (ITA)		1934_ITALY_FS.htm
17	50000	Italy	Czechoslovakia	2-1	False	False	FINAL ROUND	False	1934	10-06-1934 (17:00 h)	17:00 	Stadio Nazionale del PNF (Roma)	Italy	41.926953	12.472197	Ivan Eklind(SWE)		1934_ITALY_FS.htm
18	34107	Sweden	Mexico	3-0	False	False	GROUP STAGE	False	1958	8-06-1958 (14:00 h)	14:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Nikolaj Latyshev (USSR)		1958_SWEDEN_FS.htm
19	31156	FRG	Argentina	3-1	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	MalmÃ¶ Stadion (MalmÃ¶)	Sweden	55.586067	12.989247	Reginald Leafe (ENG)		1958_SWEDEN_FS.htm
20	10647	Northern Ireland	Czechoslovakia	1-0	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Ãrjans Vall (Halmstad)	Sweden	56.684182	12.867464	Fritz Seipelt (AUT)		1958_SWEDEN_FS.htm
21	16518	France	Paraguay	7-3	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Idrottsparken (NorrkÃ¶ping)	Sweden	58.58441	16.171553	Juan GardeazÃ¡bal (SPA)		1958_SWEDEN_FS.htm
22	9591	Yugoslavia	Scotland	1-1	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Arosvallen (VÃ¤sterÃ¥s)	Sweden	59.6200341	16.5378944	Paul Wyssling (SWI)		1958_SWEDEN_FS.htm
23	15343	Hungary	Wales	1-1	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Jernvallen (Sandviken)	Sweden	60.60904	16.770892	JosÃ© MarÃ­a Codesal (URU)		1958_SWEDEN_FS.htm
24	49348	England	Soviet Union	2-2	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	IstvÃ¡n Zsolt (HUN)		1958_SWEDEN_FS.htm
25	17778	Brazil	Austria	3-0	False	False	GROUP STAGE	False	1958	8-06-1958 (19:00 h)	19:00 	Rimnersvallen (Uddevalla)	Sweden	58.356336	11.949346	Maurice Guigue (FRA)		1958_SWEDEN_FS.htm
26	31156	FRG	Czechoslovakia	2-2	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Olympiastadion (Helsingborg)	Sweden	56.049839	12.70039	Arthur Ellis (ENG)		1958_SWEDEN_FS.htm
27	14174	Argentina	Northern Ireland	3-1	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Ãrjans Vall (Halmstad)	Sweden	56.684182	12.867464	Sten Ahlner (SWE)		1958_SWEDEN_FS.htm
28	11665	Paraguay	Scotland	3-2	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Idrottsparken (NorrkÃ¶ping)	Sweden	58.58441	16.171553	Vincenzo Orlandini (ITA)		1958_SWEDEN_FS.htm
29	12217	Yugoslavia	France	3-2	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Arosvallen (VÃ¤sterÃ¥s)	Sweden	59.6200341	16.5378944	Mervyn Griffiths (WAL)		1958_SWEDEN_FS.htm
30	15150	Wales	Mexico	1-1	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Leo LemeÅ¡iÄ (YUG)		1958_SWEDEN_FS.htm
31	40895	Brazil	England	-	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	Albert Dusch (FRG)		1958_SWEDEN_FS.htm
32	21239	Soviet Union	Austria	-	False	False	GROUP STAGE	False	1958	11-06-1958 (19:00 h)	19:00 	Ryavallen (BorÃ¥s)	Sweden	57.73572	12.934914	Carl JÃ¸rgensen (DEN)		1958_SWEDEN_FS.htm
33	38850	Sweden	Hungary	2-1	False	False	GROUP STAGE	False	1958	12-06-1958 (19:00 h)	19:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	John Mowatt (SCO)		1958_SWEDEN_FS.htm
34	30287	Sweden	Wales	-	False	False	GROUP STAGE	False	1958	15-06-1958 (14:00 h)	14:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Lucien van Nuffel (BEL)		1958_SWEDEN_FS.htm
35	21990	FRG	Northern Ireland	2-2	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	MalmÃ¶ Stadion (MalmÃ¶)	Sweden	55.586067	12.989247	Joaquim Fernandes Campos (POR)		1958_SWEDEN_FS.htm
36	16418	Czechoslovakia	Argentina	6-1	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Olympiastadion (Helsingborg)	Sweden	56.049839	12.70039	Arthur Ellis (ENG)		1958_SWEDEN_FS.htm
37	13554	France	Scotland	2-1	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Eyravallen (Ãrebro)	Sweden	59.266051	15.221614	Juan Regis Brozzi (ARG)		1958_SWEDEN_FS.htm
38	13103	Yugoslavia	Paraguay	3-3	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Tunavallen (Eskilstuna)	Sweden	59.370709	16.49502	Martin MaÄko (CZE)		1958_SWEDEN_FS.htm
39	13310	Hungary	Mexico	4-0	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Jernvallen (Sandviken)	Sweden	60.60904	16.770892	Aarne Eriksson (FIN)		1958_SWEDEN_FS.htm
40	50928	Brazil	Soviet Union	2-0	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	Maurice Guigue (FRA)		1958_SWEDEN_FS.htm
41	15872	England	Austria	2-2	False	False	GROUP STAGE	False	1958	15-06-1958 (19:00 h)	19:00 	Ryavallen (BorÃ¥s)	Sweden	57.73572	12.934914	Jan Bronkhorst (NED)		1958_SWEDEN_FS.htm
42	6196	Northern Ireland	Czechoslovakia	2-1	True	False	GROUP STAGE	False	1958	17-06-1958 (19:00 h)	19:00 	MalmÃ¶ Stadion (MalmÃ¶)	Sweden	55.586067	12.989247	Maurice Guigue (FRA)		1958_SWEDEN_FS.htm
43	2823	Wales	Hungary	2-1	True	False	GROUP STAGE	False	1958	17-06-1958 (19:00 h)	19:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Nikolaj Latyshev (USSR)		1958_SWEDEN_FS.htm
44	23182	Soviet Union	England	1-0	True	False	GROUP STAGE	False	1958	17-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	Albert Dusch (FRG)		1958_SWEDEN_FS.htm
45	31900	Sweden	Soviet Union	2-0	False	False	1/4 FINAL	False	1958	19-06-1958 (14:00 h)	14:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Reginald Leafe (ENG)		1958_SWEDEN_FS.htm
46	20055	FRG	Yugoslavia	1-0	False	False	1/4 FINAL	False	1958	19-06-1958 (19:00 h)	19:00 	MalmÃ¶ Stadion (MalmÃ¶)	Sweden	55.586067	12.989247	Paul Wyssling (SWI)		1958_SWEDEN_FS.htm
47	11800	France	Northern Ireland	4-0	False	False	1/4 FINAL	False	1958	19-06-1958 (19:00 h)	19:00 	Idrottsparken (NorrkÃ¶ping)	Sweden	58.58441	16.171553	Juan GardeazÃ¡bal (SPA)		1958_SWEDEN_FS.htm
48	25923	Brazil	Wales	1-0	False	False	1/4 FINAL	False	1958	19-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	Fritz Seipelt (AUT)		1958_SWEDEN_FS.htm
49	49471	Sweden	FRG	3-1	False	False	1/2 FINAL	False	1958	24-06-1958 (19:00 h)	19:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	IstvÃ¡n Zsolt (HUN)		1958_SWEDEN_FS.htm
50	27100	Brazil	France	5-2	False	False	1/2 FINAL	False	1958	24-06-1958 (19:00 h)	19:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Mervyn Griffiths (WAL)		1958_SWEDEN_FS.htm
51	32482	France	FRG	6-3	False	False	PLACES 3-4	False	1958	28-06-1958 (17:00 h)	17:00 	Nya Ullevi (GÃ¶teborg)	Sweden	57.705913	11.98723	Juan Regis Brozzi (ARG)		1958_SWEDEN_FS.htm
52	49737	Brazil	Sweden	5-2	False	False	FINAL ROUND	False	1958	29-06-1958 (15:00 h)	15:00 	RÃ¥sunda (Solna, Stockholm)	Sweden	59.366667	17.9833329	Maurice Guigue (FRA)		1958_SWEDEN_FS.htm
53	95000	Argentina	Belgium	0-1	False	False	GROUP STAGE	first	1982	13-06-1982 (20:00 h)	20:00 	Camp Nou (Barcelona)	Spain	41.380896	2.12282	VojtÄch Christov (CZE)		1982_SPAIN_FS.htm
54	22000	Italy	Poland	-	False	False	GROUP STAGE	first	1982	14-06-1982 (17:15 h)	17:15 	BalaÃ­dos (Vigo)	Spain	42.211947	-8.73973	Michel Vautrot (FRA)		1982_SPAIN_FS.htm
55	50000	Brazil	Soviet Union	2-1	False	False	GROUP STAGE	first	1982	14-06-1982 (21:00 h)	21:00 	RamÃ³n SÃ¡nchez PizjuÃ¡n (Sevilla)	Spain	37.384066	-5.97069	Augusto Lamo Castillo (SPA)		1982_SPAIN_FS.htm
56	15000	Peru	Cameroon	-	False	False	GROUP STAGE	first	1982	15-06-1982 (17:15 h)	17:15 	Riazor (La CoruÃ±a)	Spain	43.36872	-8.417484	Franz WÃ¶hrer (AUT)		1982_SPAIN_FS.htm
57	23000	Hungary	El Salvador	10-1	False	False	GROUP STAGE	first	1982	15-06-1982 (21:00 h)	21:00 	Nuevo Estadio (Elche)	Spain	38.278536	-0.707856	Ibrahim Al-Doy (BHR)		1982_SPAIN_FS.htm
58	22000	Scotland	New Zealand	5-2	False	False	GROUP STAGE	first	1982	15-06-1982 (21:00 h)	21:00 	La Rosaleda (MÃ¡laga)	Spain	36.7355448	-4.426569	David Socha (USA)		1982_SPAIN_FS.htm
59	25000	FRG	Algeria	1-2	False	False	GROUP STAGE	first	1982	16-06-1982 (17:15 h)	17:15 	El MolinÃ³n (GijÃ³n)	Spain	43.538898	-5.645742	Enrique LabÃ³ (PER)		1982_SPAIN_FS.htm
60	44172	England	France	3-1	False	False	GROUP STAGE	first	1982	16-06-1982 (17:15 h)	17:15 	San MamÃ©s (Bilbao)	Spain	43.263513	-2.948131	AntÃ³nio JosÃ© da Silva Garrido (POR)		1982_SPAIN_FS.htm
61	49562	Spain	Honduras	1-1	False	False	GROUP STAGE	first	1982	16-06-1982 (21:00 h)	21:00 	Luis Casanova (Valencia)	Spain	22.1648245	-101.0045432	Arturo AndrÃ©s Iturralde (ARG)		1982_SPAIN_FS.htm
62	22000	Chile	Austria	0-1	False	False	GROUP STAGE	first	1982	17-06-1982 (17:15 h)	17:15 	Carlos Tartiere (Oviedo)	Spain	43.360742	-5.870283	Juan Daniel Cardellino (URU)		1982_SPAIN_FS.htm
63	12000	Czechoslovakia	Kuwait	1-1	False	False	GROUP STAGE	first	1982	17-06-1982 (17:15 h)	17:15 	Nuevo JosÃ© Zorrilla (Valladolid)	Spain	41.644608	-4.761273	Benjamin Dwomoh (GHA)		1982_SPAIN_FS.htm
64	18000	Yugoslavia	Northern Ireland	-	False	False	GROUP STAGE	first	1982	17-06-1982 (21:00 h)	21:00 	La Romareda (Zaragoza)	Spain	41.6350994	-0.8985067	Erik Fredriksson (SWE)		1982_SPAIN_FS.htm
65	25000	Italy	Peru	1-1	False	False	GROUP STAGE	first	1982	18-06-1982 (17:15 h)	17:15 	BalaÃ­dos (Vigo)	Spain	42.211947	-8.73973	Walter Eschweiler (FRG)		1982_SPAIN_FS.htm
66	32093	Argentina	Hungary	4-1	False	False	GROUP STAGE	first	1982	18-06-1982 (21:00 h)	21:00 	JosÃ© Rico PÃ©rez (Alicante)	Spain	38.357446	-0.492724	BelaÃ¯d Lacarne (ALG)		1982_SPAIN_FS.htm
67	47379	Brazil	Scotland	4-1	False	False	GROUP STAGE	first	1982	18-06-1982 (21:00 h)	21:00 	Benito VillamarÃ­n (Sevilla)	Spain	37.356504	-5.981752	Luis Paulino Siles (CRC)		1982_SPAIN_FS.htm
68	12000	Poland	Cameroon	-	False	False	GROUP STAGE	first	1982	19-06-1982 (17:15 h)	17:15 	Riazor (La CoruÃ±a)	Spain	43.36872	-8.417484	Alexis Ponnet (BEL)		1982_SPAIN_FS.htm
69	6000	Belgium	El Salvador	1-0	False	False	GROUP STAGE	first	1982	19-06-1982 (21:00 h)	21:00 	Nuevo Estadio (Elche)	Spain	38.278536	-0.707856	Malcolm Moffatt (NIR)		1982_SPAIN_FS.htm
70	17000	Soviet Union	New Zealand	3-0	False	False	GROUP STAGE	first	1982	19-06-1982 (21:00 h)	21:00 	La Rosaleda (MÃ¡laga)	Spain	36.7355448	-4.426569	Yousef el-Ghoul (LYB)		1982_SPAIN_FS.htm
71	40000	FRG	Chile	4-1	False	False	GROUP STAGE	first	1982	20-06-1982 (17:15 h)	17:15 	El MolinÃ³n (GijÃ³n)	Spain	43.538898	-5.645742	Bruno Galler (SWI)		1982_SPAIN_FS.htm
72	44182	England	Czechoslovakia	2-0	False	False	GROUP STAGE	first	1982	20-06-1982 (17:15 h)	17:15 	San MamÃ©s (Bilbao)	Spain	43.263513	-2.948131	Charles Corver (NED)		1982_SPAIN_FS.htm
73	47500	Spain	Yugoslavia	2-1	False	False	GROUP STAGE	first	1982	20-06-1982 (21:00 h)	21:00 	Luis Casanova (Valencia)	Spain	22.1648245	-101.0045432	Henning Lund-SÃ¸rensen (DEN)		1982_SPAIN_FS.htm
74	22000	Algeria	Austria	0-2	False	False	GROUP STAGE	first	1982	21-06-1982 (17:15 h)	17:15 	Carlos Tartiere (Oviedo)	Spain	43.360742	-5.870283	Tony BoÅ¡koviÄ (AUS)		1982_SPAIN_FS.htm
75	30043	France	Kuwait	4-1	False	False	GROUP STAGE	first	1982	21-06-1982 (17:15 h)	17:15 	Nuevo JosÃ© Zorrilla (Valladolid)	Spain	41.644608	-4.761273	Miroslav Stupar (USSR)		1982_SPAIN_FS.htm
76	15000	Honduras	Northern Ireland	1-1	False	False	GROUP STAGE	first	1982	21-06-1982 (21:00 h)	21:00 	La Romareda (Zaragoza)	Spain	41.6350994	-0.8985067	Chan Tam-Sun (HKG)		1982_SPAIN_FS.htm
77	16000	Poland	Peru	5-1	False	False	GROUP STAGE	first	1982	22-06-1982 (17:15 h)	17:15 	Riazor (La CoruÃ±a)	Spain	43.36872	-8.417484	Mario Rubio (MEX)		1982_SPAIN_FS.htm
78	22000	Belgium	Hungary	1-1	False	False	GROUP STAGE	first	1982	22-06-1982 (21:00 h)	21:00 	Nuevo Estadio (Elche)	Spain	38.278536	-0.707856	Clive White (ENG)		1982_SPAIN_FS.htm
79	30000	Soviet Union	Scotland	2-2	False	False	GROUP STAGE	first	1982	22-06-1982 (21:00 h)	21:00 	La Rosaleda (MÃ¡laga)	Spain	36.7355448	-4.426569	Nicolae Rainea (ROM)		1982_SPAIN_FS.htm
80	17000	Italy	Cameroon	1-1	False	False	GROUP STAGE	first	1982	23-06-1982 (17:15 h)	17:15 	BalaÃ­dos (Vigo)	Spain	42.211947	-8.73973	Bogdan Dochev (BUL)		1982_SPAIN_FS.htm
81	18000	Argentina	El Salvador	2-0	False	False	GROUP STAGE	first	1982	23-06-1982 (21:00 h)	21:00 	JosÃ© Rico PÃ©rez (Alicante)	Spain	38.357446	-0.492724	Luis Barrancos (BOL)		1982_SPAIN_FS.htm
82	32000	Brazil	New Zealand	4-0	False	False	GROUP STAGE	first	1982	23-06-1982 (21:00 h)	21:00 	Benito VillamarÃ­n (Sevilla)	Spain	37.356504	-5.981752	Damir MatovinoviÄ (YUG)		1982_SPAIN_FS.htm
83	18000	Algeria	Chile	3-2	False	False	GROUP STAGE	first	1982	24-06-1982 (17:15 h)	17:15 	Carlos Tartiere (Oviedo)	Spain	43.360742	-5.870283	RÃ³mulo MÃ©ndez (GUA)		1982_SPAIN_FS.htm
84	28000	France	Czechoslovakia	1-1	False	False	GROUP STAGE	first	1982	24-06-1982 (17:15 h)	17:15 	Nuevo JosÃ© Zorrilla (Valladolid)	Spain	41.644608	-4.761273	Paolo Casarin (ITA)		1982_SPAIN_FS.htm
85	12000	Honduras	Yugoslavia	0-1	False	False	GROUP STAGE	first	1982	24-06-1982 (21:00 h)	21:00 	La Romareda (Zaragoza)	Spain	41.6350994	-0.8985067	GastÃ³n Castro (CHI)		1982_SPAIN_FS.htm
86	41000	FRG	Austria	1-0	False	False	GROUP STAGE	first	1982	25-06-1982 (17:15 h)	17:15 	El MolinÃ³n (GijÃ³n)	Spain	43.538898	-5.645742	Robert Valentine (SCO)		1982_SPAIN_FS.htm
87	31000	England	Kuwait	1-0	False	False	GROUP STAGE	first	1982	25-06-1982 (17:15 h)	17:15 	San MamÃ©s (Bilbao)	Spain	43.263513	-2.948131	Gilberto AristizÃ¡bal (COL)		1982_SPAIN_FS.htm
88	49562	Northern Ireland	Spain	1-0	False	False	GROUP STAGE	first	1982	25-06-1982 (21:00 h)	21:00 	Luis Casanova (Valencia)	Spain	22.1648245	-101.0045432	HÃ©ctor Ortiz (PAR)		1982_SPAIN_FS.htm
89	30000	Austria	France	0-1	False	False	GROUP STAGE	second	1982	28-06-1982 (17:15 h)	17:15 	Vicente CalderÃ³n (Madrid)	Spain	40.401724	-3.720635	KÃ¡roly Palotai (HUN)		1982_SPAIN_FS.htm
90	30000	Poland	Belgium	3-0	False	False	GROUP STAGE	second	1982	28-06-1982 (21:00 h)	21:00 	Camp Nou (Barcelona)	Spain	41.380896	2.12282	Luis Paulino Siles (CRC)		1982_SPAIN_FS.htm
91	39000	Italy	Argentina	2-1	False	False	GROUP STAGE	second	1982	29-06-1982 (17:15 h)	17:15 	SarriÃ¡ (Barcelona)	Spain	41.3996039	2.1191034	Nicolae Rainea (ROM)		1982_SPAIN_FS.htm
92	75000	FRG	England	-	False	False	GROUP STAGE	second	1982	29-06-1982 (21:00 h)	21:00 	Santiago BernabÃ©u (Madrid)	Spain	40.453054	-3.688344	Arnaldo CÃ©sar Coelho (BRA)		1982_SPAIN_FS.htm
93	24000	Austria	Northern Ireland	2-2	False	False	GROUP STAGE	second	1982	1-07-1982 (17:15 h)	17:15 	Vicente CalderÃ³n (Madrid)	Spain	40.401724	-3.720635	Adolf Prokop (GDR)		1982_SPAIN_FS.htm
94	25000	Belgium	Soviet Union	0-1	False	False	GROUP STAGE	second	1982	1-07-1982 (21:00 h)	21:00 	Camp Nou (Barcelona)	Spain	41.380896	2.12282	Michel Vautrot (FRA)		1982_SPAIN_FS.htm
95	44000	Argentina	Brazil	1-3	False	False	GROUP STAGE	second	1982	2-07-1982 (17:15 h)	17:15 	SarriÃ¡ (Barcelona)	Spain	41.3996039	2.1191034	Mario Rubio (MEX)		1982_SPAIN_FS.htm
96	90089	FRG	Spain	2-1	False	False	GROUP STAGE	second	1982	2-07-1982 (21:00 h)	21:00 	Santiago BernabÃ©u (Madrid)	Spain	40.453054	-3.688344	Paolo Casarin (ITA)		1982_SPAIN_FS.htm
97	30000	France	Northern Ireland	4-1	False	False	GROUP STAGE	second	1982	4-07-1982 (17:15 h)	17:15 	Vicente CalderÃ³n (Madrid)	Spain	40.401724	-3.720635	Alojzy Jarguz (POL)		1982_SPAIN_FS.htm
98	45000	Poland	Soviet Union	-	False	False	GROUP STAGE	second	1982	4-07-1982 (21:00 h)	21:00 	Camp Nou (Barcelona)	Spain	41.380896	2.12282	Robert Valentine (SCO)		1982_SPAIN_FS.htm
99	44000	Italy	Brazil	3-2	False	False	GROUP STAGE	second	1982	5-07-1982 (17:15 h)	17:15 	SarriÃ¡ (Barcelona)	Spain	41.3996039	2.1191034	Abraham Klein (ISR)		1982_SPAIN_FS.htm
100	65000	Spain	England	-	False	False	GROUP STAGE	second	1982	5-07-1982 (21:00 h)	21:00 	Santiago BernabÃ©u (Madrid)	Spain	40.453054	-3.688344	Alexis Ponnet (BEL)		1982_SPAIN_FS.htm
101	55000	Poland	Italy	0-2	False	False	1/2 FINAL	False	1982	8-07-1982 (17:15 h)	17:15 	Camp Nou (Barcelona)	Spain	41.380896	2.12282	Juan Daniel Cardellino (URU)	Majewski (44â), Smolarek (52â), Å»muda (90â) / Collovati (52â)	1982_SPAIN_FS.htm
102	71000	FRG	France	3-3	False	0-1 (Giresse); 1-1 (Kaltz) / 1-2 (AmorÃ³s); 2-2 (Breitner) / 2-3 (Rocheteau); 2-3 (Stielike [saved]) / 2-3 (Six [saved]); 3-3 (Littbarski) / 3-4 (Platini); 4-4 (Rummenigge) // [decisive shots] 4-4 (Bossis [saved]); 5-4 (Hrubesch)	1/2 FINAL	False	1982	8-07-1982 (21:00 h)	21:00 	RamÃ³n SÃ¡nchez PizjuÃ¡n (Sevilla)	Spain	37.384066	-5.97069	Charles Corver (NED)	B. FÃ¶rster (46â) / Giresse (35â), Genghini (40â)	1982_SPAIN_FS.htm
103	28000	Poland	France	3-2	False	False	PLACES 3-4	False	1982	10-07-1982 (20:00 h)	20:00 	JosÃ© Rico PÃ©rez (Alicante)	Spain	38.357446	-0.492724	AntÃ³nio JosÃ© da Silva Garrido (POR)	Buncol (62â), WÃ³jcicki (71â) / Soler (79â)	1982_SPAIN_FS.htm
104	90089	Italy	FRG	3-1	False	False	FINAL ROUND	False	1982	11-07-1982 (20:00 h)	20:00 	Santiago BernabÃ©u (Madrid)	Spain	40.453054	-3.688344	Arnaldo CÃ©sar Coelho (BRA)	Conti (31â), Oriali (73â) / Dremmler (61â), Stielike (73â), Littbarski (88â)	1982_SPAIN_FS.htm
105	87148	England	Uruguay	-	False	False	GROUP STAGE	False	1966	11-07-1966 (19:30 h)	19:30 	Wembley (London)	England	51.550501	-0.3048409	IstvÃ¡n Zsolt (HUN)		1966_ENGLAND_FS.htm
106	36127	FRG	Switzerland	5-0	False	False	GROUP STAGE	False	1966	12-07-1966 (19:30 h)	19:30 	Hillsborough (Sheffield)	England	53.408005	-1.508366	Hugh Phillips (SCO)		1966_ENGLAND_FS.htm
107	47308	Brazil	Bulgaria	2-0	False	False	GROUP STAGE	False	1966	12-07-1966 (19:30 h)	19:30 	Goodison Park (Liverpool)	England	53.438895	-2.967092	Kurt Tschenscher (FRG)		1966_ENGLAND_FS.htm
108	23006	Soviet Union	North Korea	3-0	False	False	GROUP STAGE	False	1966	12-07-1966 (19:30 h)	19:30 	Ayresome Park (Middlesbrough)	England	54.562676	-1.2453317	Juan GardeazÃ¡bal (SPA)		1966_ENGLAND_FS.htm
109	69237	France	Mexico	1-1	False	False	GROUP STAGE	False	1966	13-07-1966 (19:30 h)	19:30 	Wembley (London)	England	51.550501	-0.3048409	Menachem Ashkenazi (ISR)		1966_ENGLAND_FS.htm
110	42738	Argentina	Spain	2-1	False	False	GROUP STAGE	False	1966	13-07-1966 (19:30 h)	19:30 	Villa Park (Birmingham)	England	52.509896	-1.885852	DimitÄr Rumenchev (BUL)		1966_ENGLAND_FS.htm
111	29886	Portugal	Hungary	3-1	False	False	GROUP STAGE	False	1966	13-07-1966 (19:30 h)	19:30 	Old Trafford (Manchester)	England	53.463059	-2.29134	Leo Callaghan (WAL)		1966_ENGLAND_FS.htm
112	27199	Italy	Chile	2-0	False	False	GROUP STAGE	False	1966	13-07-1966 (19:30 h)	19:30 	Roker Park (Sunderland)	England	54.924924	-1.369543	Gottfried Dienst (SWI)		1966_ENGLAND_FS.htm
